Words	IPA	Gender	Nt	F1	F2	F3	t
even	ˈivɪn	M	3	266; ;330;	2005; ;1482;	2429; ;2265;	0.468; ;0.628;
will	wɪl	M	1	438;	1610;	2457;	0.445;
his	hɪz	M	1	379;	1902;	2591;	0.413;
for	fɔr	M	1	443;	799;	1871;	0.474;
we	wi	M	1	264;	2051;	2470;	0.625;
find	faɪnd	M	2	643;344;	1209;1663;	2211;2608;	0.376;0.686;
do	du	M	1	271;	1009;	2137;	0.686;
think	θɪŋk	M	1	371;	2025;	2645;	0.479;
her	hɜr	M	1	471;	1293;	1558;	0.479;
way	weɪ	M	2	518;432;	1576;1748;	2278;2280;	0.492;0.727;
well	wɛl	M	1	595;	1553;	2449;	0.468;
the	ðə	M	1	459;	1367;	2498;	0.368;
and	ænd	M	1	567;	1489;	2050;	0.603;
go	goʊ	M	2	436;436;	941;941;	2364;2364;	0.561;0.561;
see	si	M	1	252;	2138;	2598;	0.687;
then	ðɛn	M	1	438;	1284;	1937;	0.579;
what	wʌt	M	1	613;	1448;	2289;	0.530;
their	ðɛr	M	1	495;	1665;	2499;	0.433;
which	wɪʧ	M	1	450;	1688;	2349;	0.413;
she	ʃi	M	1	280;	2021;	2415;	0.418;
than	ðæn	M	1	551;	1676;	2533;	0.459;
should	ʃʊd	M	1	338;	1430;	2246;	0.577;
they	ðeɪ	M	2	551;409;	1645;1491;	2218;2356;	0.465;0.615;
more	mɔr	M	1	388;	727;	1811;	0.525;
of	ʌv	M	1	305;	1148;	2416;	0.628;
day	deɪ	M	2	460;384;	1710;1801;	2625;2552;	0.555;0.665;
us	ʌs	M	1	476;	1330;	2417;	0.493;
those	ðoʊz	M	2	384;372;	978;971;	2305;2262;	0.688;0.698;
from	frʌm	M	1	414;	986;	1711;	0.630;
know	noʊ	M	2	373;342;	870;864;	2207;2229;	0.633;0.648;
get	gɛt	M	1	585;	1564;	2214;	0.552;
at	æt	M	1	524;	1504;	2243;	0.244;
can	kæn	M	1	422;	1563;	2457;	0.421;
not	nɑt	M	1	615;	1162;	2273;	0.463;
look	lʊk	M	1	396;	1083;	2616;	0.422;
one	wʌn	M	1	500;	1391;	2261;	0.545;
he	hi	M	1	251;	2035;	2501;	0.528;
how	haʊ	M	2	760;556;	1428;1024;	2282;2206;	0.421;0.626;
who	hu	M	1	258;	840;	2049;	0.593;
child	ʧaɪld	M	2	789;606;	1271;1592;	2309;2244;	0.482;0.587;
through	θru	M	1	358;	969;	2078;	0.848;
use	juz	M	1	285;	1465;	2299;	0.565;
good	gʊd	M	1	262;	1207;	2363;	0.722;
give	gɪv	M	1	384;	1887;	2467;	0.435;
if	ɪf	M	1	383;	1959;	2527;	0.351;
have	hæv	M	1	674;	1649;	2346;	0.265;
a	æ	M	1	624;	1206;	2496;	0.274;
could	kʊd	M	1	397;	1333;	2341;	0.469;
tell	tɛl	M	1	556;	1703;	2474;	0.435;
woman	ˈwʊmən	M	3	362; ;394;	859; ;1291;	2637; ;1938;	0.386; ;0.595;
thing	θɪŋ	M	1	393;	1761;	2251;	0.390;
first	fɜrst	M	1	442;	1192;	1401;	0.632;
may	meɪ	M	2	518;362;	1668;1792;	2251;2506;	0.529;0.659;
him	hɪm	M	1	376;	1854;	2549;	0.396;
